73569,73617,73577,898967.0
73616,73622,73618,898813.0
49537,49661,49554,137314.0
71690,72057,71705,80698.0
27648,27688,27650,68523.0
27618,27649,27632,68501.0
99512,99635,99533,66970.0
82264,82296,82272,65871.0
82295,82300,82297,65762.0
103218,107184,103236,64517.0
3088,3107,3090,62052.0
3065,3089,3075,61781.0
60831,60975,60848,61448.0
63650,63731,63669,60768.0
23936,23982,23938,59934.0
23913,23937,23928,59869.0
47070,47205,47099,58118.0
14783,15748,15691,53557.0
14775,15690,14787,53372.0
72056,72149,72058,51965.0
74805,74829,74815,51433.0
74828,74839,74830,51374.0
63730,63735,63732,50735.0
85358,85394,85366,48809.0
85366,85397,85395,48798.0
95138,95282,95160,47503.0
68597,68629,68599,45792.0
68577,68598,68588,45745.0
30104,30132,30114,45544.0
30128,30143,30133,45488.0
54269,54298,54275,45431.0
54297,54314,54299,45369.0
753,1018,764,45349.0
108067,108101,108069,44599.0
10126,10169,10140,44372.0
108062,108068,108065,44144.0
20273,20500,20284,43818.0
96988,97067,97009,43495.0
97043,97083,97068,43145.0
76336,76388,76349,42682.0
50702,50730,50704,42262.0
50604,50703,50629,42208.0
50379,50395,50380,41188.0
29558,29617,29594,40759.0
53613,53673,53643,40558.0
53613,53642,53624,40153.0
53119,53147,53121,40011.0
34982,39113,34993,40008.0
17791,17903,17793,39755.0
43276,43436,43288,39483.0
19734,19751,19736,39048.0
19722,19735,19728,39036.0
72690,72812,72716,38793.0
75796,75841,75805,38690.0
52276,52335,52288,38469.0
74295,74362,74314,38034.0
78648,78724,78661,38005.0
29541,29593,29559,37705.0
78723,78735,78725,37705.0
18462,18500,18483,37386.0
33891,33927,33893,37240.0
33867,33892,33874,37163.0
70232,70278,70248,37046.0
70277,70304,70279,36947.0
96103,96135,96113,36893.0
96134,96137,96136,36781.0
55210,55325,55225,36648.0
84804,84885,84825,36221.0
22443,22483,22457,35944.0
22431,22456,22442,35884.0
19107,19193,19118,35686.0
30573,30613,30583,35597.0
30586,30624,30614,35586.0
53146,53161,53148,35343.0
77773,77894,77783,35058.0
67707,67784,67725,34928.0
40354,40481,40367,34616.0
92928,92993,92945,34588.0
69360,69459,69375,34412.0
17902,17912,17904,33961.0
85974,86013,85986,33792.0
33103,33175,33121,33497.0
79187,79248,79197,32655.0
75290,75355,75344,31449.0
75279,75343,75288,31438.0
98862,98896,98883,30565.0
98888,98899,98897,30460.0
39828,39869,39837,28938.0
77270,77299,77279,26214.0
77287,77308,77300,26186.0
93752,93858,93760,25436.0
93790,93877,93859,25386.0
17005,17092,17025,23257.0
17075,17125,17093,23193.0
27778,27878,27804,22502.0
83083,83164,83098,21880.0
41558,41628,41572,21712.0
23062,23082,23080,19979.0
23081,23090,23083,19919.0
31820,31849,31828,19758.0
51327,51384,51351,19748.0
51335,51393,51385,19737.0
76874,76899,76883,19667.0
31848,31859,31850,19664.0
76898,76908,76900,19600.0
27877,27892,27879,19580.0
31232,31256,31241,19034.0
51758,51788,51772,19014.0
31255,31265,31257,18972.0
51748,51771,51758,18967.0
39609,39643,39611,18733.0
39580,39610,39589,18307.0
21913,21959,21936,18090.0
21930,21935,21932,17934.0
21079,21138,21101,17930.0
92075,92104,92099,17438.0
65298,65320,65300,17366.0
65277,65299,65286,17362.0
92103,92126,92105,17302.0
127,148,136,16330.0
82119,82146,82144,16198.0
82145,82157,82147,16128.0
41072,41114,41086,12974.0
16409,16437,16418,12948.0
16436,16455,16438,12881.0
41113,41133,41115,12879.0
48416,48427,48418,12422.0
48426,48471,48428,12345.0
64698,64731,64729,12278.0
64730,64776,64732,12277.0
58577,59637,58598,11855.0
97867,97881,97869,10629.0
97840,97868,97849,10542.0
41952,42132,41964,10213.0
107675,107734,107691,9664.0
73886,73976,73934,9661.0
107702,107766,107735,9573.0
12520,13109,12535,9480.0
78445,78491,78447,9331.0
78412,78446,78421,9262.0
84070,84187,84075,8704.0
11111,11161,11130,8394.0
56094,56866,56119,8323.0
44071,44091,44073,8207.0
84181,84200,84188,8207.0
18794,18797,18796,8205.0
44057,44072,44070,8194.0
18791,18795,18793,8166.0
24940,25010,24955,8130.0
42435,42478,42454,7893.0
42477,42485,42479,7722.0
70602,70658,70629,7342.0
88675,88694,88685,7342.0
88693,88712,88695,7328.0
70635,70678,70659,7290.0
44794,44870,44810,7040.0
58552,58597,58575,6838.0
21727,21788,21730,5418.0
1543,1599,1555,5163.0
2366,2465,2384,4896.0
53106,53120,53117,4511.0
21737,21806,21789,4387.0
13803,13840,13821,4066.0
32109,32321,32153,4048.0
25892,26542,25903,3948.0
13839,13842,13841,3927.0
54351,54656,54371,3216.0
23791,23813,23800,3123.0
6847,7001,6902,3117.0
94067,94106,94069,2939.0
101075,101472,101319,2926.0
28672,28820,28710,2908.0
94041,94068,94056,2906.0
27512,27543,27520,2859.0
27542,27560,27544,2811.0
1869,1914,1883,2805.0
28283,28480,28302,2797.0
28385,28565,28481,2762.0
1913,1937,1915,2741.0
28789,28858,28821,2529.0
34032,34278,34052,2409.0
101477,101874,101582,2340.0
86770,86822,86778,2303.0
8700,8790,8722,2280.0
54417,54666,54657,2239.0
81394,81444,81396,2165.0
51609,51641,51615,2132.0
81348,81395,81373,2121.0
21341,21475,21351,2035.0
80011,80055,80014,2004.0
101036,101318,101055,2001.0
8773,8838,8791,1922.0
101342,101581,101473,1909.0
80054,80080,80056,1895.0
2625,2665,2641,1850.0
8372,8563,8388,1836.0
66235,66559,66294,1811.0
1787,1847,1815,1780.0
10168,10229,10170,1777.0
